frame_index,frame_path,sku_index,name,price_full,price_discounted,taxonomy,other_text
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,7,Ozeki Junmai Sake 1.5L Bottle,$11.99,,Beverages > Alcohol > Sake,Red swirl logo on red/yellow label; middle shelf
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,8,Gekkeikan Traditional Sake 1.5L Bottle,,,Beverages > Alcohol > Sake,Green bottle with green label bordered in red; kanji '月桂冠'; bottom left section
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,9,Sho Chiku Bai Classic Junmai Sake 1.5L Bottle,,,Beverages > Alcohol > Sake,Large green bottles with oval 'Sho Chiku Bai' label; 'Manager's Special' tag nearby
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,10,Gekkeikan Haiku Sake 750ml Bottle,$16.99,,Beverages > Alcohol > Sake,White label with 'HAIKU'; right-side shelf
73,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000073.jpg,1,Takara Sho Chiku Bai Classic Junmai Sake 1.5L,,,Beverages > Alcohol > Sake,Sho Chiku Bai; Classic; large green bottle with yellow oval label; Manager's Special tag nearby
73,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000073.jpg,2,Tozai Living Jewel Junmai Sake 300ml,,,Beverages > Alcohol > Sake,Blue bottle; koi fish artwork; 'Tozai' on label
73,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000073.jpg,3,Ozeki Haiku Premium Select Junmai Sake 750ml,,,Beverages > Alcohol > Sake,Green bottle; 'HAIKU' branding on label
73,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000073.jpg,4,Hakutsuru Draft Sake 300ml,,,Beverages > Alcohol > Sake,Frosted white bottle; blue text; 'Draft' and Hakutsuru crane branding visible
73,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000073.jpg,5,Unknown Brand Yuzu Sake 300ml,,,Beverages > Alcohol > Flavored Sake,Slim clear bottle with orange/yellow label; citrus/yuzu imagery; 'Yuzu' visible
73,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000073.jpg,6,Unknown Brand Pear Sake 300ml,,,Beverages > Alcohol > Flavored Sake,Slim clear bottle with pale yellow label; 'Pear' text visible
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000018.jpg,1,Sho Chiku Bai Classic Junmai Sake 1.5L,,,Beverages > Alcohol > Sake,Sho Chiku Bai; Classic; Junmai; large green bottle; Manager's Special tag present
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000018.jpg,2,Gekkeikan Traditional Sake 750ml,$9.99,,Beverages > Alcohol > Sake,GEKKEIKAN; Traditional; green bottle; white label with large kanji 月桂冠
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000018.jpg,3,Tozai Snow Maiden Nigori Sake 300ml,,,Beverages > Alcohol > Sake,Tozai; koi fish artwork; small purple/blue bottle; Snow Maiden nigori line
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000018.jpg,4,Ozeki Haiku Premium Select Junmai Sake 750ml,,,Beverages > Alcohol > Sake,HAIKU on label; Premium Select Junmai; green bottle
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000018.jpg,5,Yuzu Flavored Sake 300ml (brand unclear),,,Beverages > Alcohol > Flavored Sake,Yellow–orange gradient label; reads Yuzu; small bottle
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000018.jpg,6,Pure Junmai Sake 300ml (brand unclear),,,Beverages > Alcohol > Sake,"Clear small bottle with white label reading ""Pure""; multiple units on top shelf"
18,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000018.jpg,7,Tamanohikari Junmai Ginjo Sake 300ml,,,Beverages > Alcohol > Sake,Frosted white bottle with blue cap; blue kanji (玉) style mark; two bottles together
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000003.jpg,1,Tozai Snow Maiden Nigori Sake 300ml,,,Beverages > Alcohol > Sake,Label reads 'Tozai'; koi fish artwork; blue bottle; Nigori.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000003.jpg,2,Sho Chiku Bai Classic Junmai Sake 1.5L,,,Beverages > Alcohol > Sake,Label reads 'Sho Chiku Bai Classic Junmai'; large green bottle; 'MANAGER'S SPECIAL' tag nearby.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000003.jpg,3,Sho Chiku Bai Classic Junmai Sake 750ml,,,Beverages > Alcohol > Sake,Green bottle; label shows 'Sho Chiku Bai' and 'Classic Junmai'.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000003.jpg,4,Ozeki Haiku Premium Select Junmai Sake 750ml,$16.99,,Beverages > Alcohol > Sake,Label text 'HAIKU'; green bottles on right side.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000003.jpg,5,Gekkeikan Traditional Junmai Sake 1.5L,,,Beverages > Alcohol > Sake,Orange label with laurel wreath; 'GEKKEIKAN' and 'Traditional' visible.
3,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000003.jpg,6,Ozeki Hana Awaka Sparkling Sake 250ml,,,Beverages > Alcohol > Sake,Small frosted white bottle; blue label; 'sparkling' style; shelf shows 'WARNING' alcohol notice nearby.
101,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000101.jpg,1,Sho Chiku Bai Classic Junmai Sake 1.5L Bottle,,,Alcoholic Beverages > Sake,Sho Chiku Bai; 松竹梅; Classic; large green bottle; SPECIAL tag on shelf
101,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000101.jpg,2,Gekkeikan Traditional Sake 750ml Bottle,,,Alcoholic Beverages > Sake,GEKKEIKAN; Traditional; 月桂冠; green bottle with round crest label
101,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000101.jpg,3,Hakutsuru Maru Sake 720ml Bottle,,,Alcoholic Beverages > Sake,Hakutsuru; 白鶴; red circle logo; MARU
101,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000101.jpg,4,Kiku-Masamune Junmai Sake 720ml Bottle,,,Alcoholic Beverages > Sake,菊正宗; Junmai; beige label on dark bottle
101,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000101.jpg,5,Yuzu Citrus Sake 500ml Bottle,,,Alcoholic Beverages > Sake,柚子 / Yuzu; yellow/orange gradient bottle
101,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000101.jpg,6,Qoo Apple Juice Drink 1L Carton,,,Beverages > Juice,Qoo; Apple; green carton with red apples and mascot
101,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000101.jpg,7,Makgeolli Original Korean Rice Wine 750ml Bottle,,,Alcoholic Beverages > Rice Wine,막걸리; Makgeolli; white bottle; shelf tag: MAKGEOLLI SPECIAL
134,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000134.jpg,1,Saero Apricot Zero Sugar Soju 360ml,,,Beverages > Alcohol > Soju,Saero Apricot Zero sugar; Korean text 새로; case boxes on floor; Zero sugar
134,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000134.jpg,2,Pure Sake 300ml,$7.99,,Beverages > Alcohol > Sake,Clear bottle with white cap; label reads 'Pure' with Japanese characters
134,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000134.jpg,3,Gekkeikan Traditional Sake 750ml,$9.99,,Beverages > Alcohol > Sake,Green bottle; red and gold crest label; shelf tag shows 9.xx
134,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000134.jpg,4,Sho Chiku Bai Sake 750ml,,,Beverages > Alcohol > Sake,Green bottle with yellow band label reading 'Sho Chiku Bai'
117,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000117.jpg,1,Hakutsuru Pure Junmai Ginjo Sake 300ml,,,Alcohol > Sake,Label reads 'Pure'; clear bottle with white label and black calligraphy; small screw-cap bottles; shelf tag nearby shows Manager's Special sign
117,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000117.jpg,2,Gekkeikan Traditional Sake 750ml,,,Alcohol > Sake,Green bottle; oval label shows 'GEKKEIKAN' and 'Traditional'
117,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000117.jpg,3,Sho Chiku Bai Sake 1.5L,,,Alcohol > Sake,Large brown bottles; label shows 'Sho Chiku Bai' with red circular emblem
117,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000117.jpg,4,Kizakura Sake 1.5L,,,Alcohol > Sake,Yellow label with black calligraphy; 'KIZAKURA' visible on label
117,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000117.jpg,5,Saero Apricot Soju 375ml,,,Alcohol > Soju,Shipping case and bottle labels show '새로 Saero' and 'Apricot'; text 'Spirits distilled from apricot'
155,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000155.jpg,1,Gekkeikan Traditional Junmai Sake 750ml,,,Alcohol > Sake,月桂冠 GEKKEIKAN; Traditional; green bottle with laurel wreath logo
155,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000155.jpg,2,Sho Chiku Bai Classic Junmai Sake 750ml,,,Alcohol > Sake,松竹梅 Sho Chiku Bai; Classic; Junmai
155,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000155.jpg,3,Kiku-Masamune Junmai Sake 1.5L,,,Alcohol > Sake,菊正宗; white label with black calligraphy on tall brown bottle
155,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000155.jpg,4,Hakutsuru Junmai Sake 720ml,,,Alcohol > Sake,白鶴 Hakutsuru; red/white label with crane motif
155,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000155.jpg,5,Gekkeikan Pure Junmai Ginjo Sake 300ml,,,Alcohol > Sake,GEKKEIKAN; Pure; 純米吟醸; clear small bottle
155,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000155.jpg,6,Saero Apricot Soju 375ml,,,Alcohol > Soju,새로; Apricot; Spirits Distilled From (case boxes on left)
155,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000155.jpg,7,Yuzu Citrus Sake 300ml (brand unclear),,,Alcohol > Sake,ゆず / Yuzu; yellow–orange gradient label with citrus graphics; small bottle with gold cap
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000174.jpg,1,Gekkeikan Traditional Sake 750ml,$9.99,,Alcohol > Sake,月桂冠; green/white label with red-green border; shelf tag shows 750ml
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000174.jpg,2,Sho Chiku Bai Junmai Sake 1.5L,,,Alcohol > Sake,松竹梅; large green bottle; likely classic junmai variant
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000174.jpg,3,Hakushika Pure Junmai Sake 300ml,,,Alcohol > Sake,Label text: “Pure”; small clear bottle with silver cap; shelf area has 'Manager’s Special' sign nearby
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000174.jpg,4,Marukome Koji Amazake Drink 1000ml Carton,,,Beverages > Non-Alcoholic,marukome; 1000ml green carton with Marukome mascot
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000174.jpg,5,Saero Apricot Soju 375ml 12-Pack (Case),,,Alcohol > Soju,새로; Tropical Apricot; case on floor; 12 x 375ml noted on box
283,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000283.jpg,1,Soonhari Saero Apricot Soju 375ml,6.99,,Beverages > Alcohol > Soju,"Shelf tag: SOONHARI SAERO APRICOT 375ML; Case/label text includes: Saero Apricot, zero sugar, 새로"
267,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000267.jpg,1,Soonhari Saero Apricot Soju 375ml,6.99,,Alcoholic Beverages > Soju,"Shelf tag: SOONHARI SAERO APRICOT 375ML; case text: Saero Apricot, zero sugar; Chinese text includes 九尾狐 杏桃 燒酒; multiple bottles on display"
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000201.jpg,1,Saero Apricot Zero Sugar Soju (Bottle),,,Alcohol > Soju,Saero Apricot Zero sugar; cases on floor
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000201.jpg,2,Sho Chiku Bai Classic Junmai Sake 1.8L,,,Alcohol > Sake,Sho Chiku Bai; 松竹梅; green label large bottle
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000201.jpg,3,Sho Chiku Bai Sake 1.8L (Gold/Yellow Label),,,Alcohol > Sake,松竹梅; large green bottle with yellow label
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000201.jpg,4,Gekkeikan Traditional Sake 1.8L,,,Alcohol > Sake,月桂冠; round light-blue emblem; large green bottle
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000201.jpg,5,Hakutsuru Sake 720ml,,,Alcohol > Sake,白鶴; red label with white crane logo; mid-shelf 720ml
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000201.jpg,6,Hakushika Sake 720ml,,,Alcohol > Sake,白鹿; beige label with bold black vertical kanji
377,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000377.jpg,1,RIO Light Yogurt RTD Cocktail 4-Pack Cans,$15.99,,Alcoholic Beverages > Ready-to-Drink Cocktails,RIO Light 微醺; shelf sign: RIO LIGHT YOGURT 4PK
362,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000362.jpg,1,RIO Light Yogurt 4-Pack,15.99,,Beverages > Alcoholic Beverages > Ready-to-Drink Cocktails,Shelf tag: RIO LIGHT YOGURT 4PK; Packaging shows 'RIO Light' and Chinese '微醺'
247,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000247.jpg,1,Saero Apricot Zero Sugar Soju 375ml,$6.99,,Alcohol > Soju,SAERO APRICOT; Zero sugar; Korean text 새로
247,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000247.jpg,2,Pure Junmai Sake 300ml,,,Alcohol > Sake,Label reads 'Pure' with Japanese characters; clear glass bottle
247,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000247.jpg,3,Sho Chiku Bai Classic Sake 720ml,,,Alcohol > Sake,松竹梅 (Sho Chiku Bai) on cream label; brown bottle
247,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000247.jpg,4,Gekkeikan Traditional Sake 1.5L,,,Alcohol > Sake,月桂冠 (Gekkeikan) wreath-style label on green bottle
393,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000393.jpg,1,RIO Light Yogurt 4-Pack (Canned Cocktail),15.99,,Beverages > Alcoholic Drinks > Ready-to-Drink Cocktails,"Shelf sign: RIO LIGHT YOGURT 4PK; Box text: RIO Light, 微醺"
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000229.jpg,1,Saero Apricot Soju Zero Sugar 375ml,,,Alcoholic Beverages > Soju,Saero; Apricot; Zero sugar; 375ml noted on shelf sign; 새로
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000229.jpg,2,Sho Chiku Bai Classic Junmai Sake 1.5L,,,Alcoholic Beverages > Sake,松竹梅; green glass magnum bottles on bottom-right shelf
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000229.jpg,3,Gekkeikan Traditional Sake 1.5L,,,Alcoholic Beverages > Sake,月桂冠; green 1.5L bottles with white label and red circle on bottom shelf
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000229.jpg,4,Pear Soju (brand unclear) Bottle,,,Alcoholic Beverages > Soju,White label with large text 'Pear'; multiple clear bottles on upper-right shelf; Manager's Special tag nearby
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000229.jpg,5,Yuzu Citrus Sake/Liqueur (brand unclear) Bottle,,,Alcoholic Beverages > Sake,Yellow–orange gradient bottle with citrus/yuzu graphics on upper-middle shelf
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000229.jpg,6,Apple Juice Drink Carton (Korean) Pack,,,Beverages > Juice,Green cartons with cartoon apple and Korean text; price tag shows 10.xx
527,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000527.jpg,1,Cook's California Champagne 750ml,$9.98,,Alcohol > Sparkling Wine,Cook's; CALIFORNIA; POP!
755,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000755.jpg,1,Sho Chiku Bai Classic Junmai Sake 1.5L Bottle,,$10.97,Beverages > Alcohol > Sake,MANAGER'S SALE; Sho Chiku Bai; case marking 1.5L/6; code 09400; red case with green bottle artwork and white blossoms
507,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000507.jpg,1,Cook's California Champagne Brut 750ml,9.99,,Beverages > Alcohol > Sparkling Wine,POP! COOK'S SPK SPARKLING BRUT
507,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000507.jpg,2,Choya Umeshu (Plum Wine) 750ml,,,Beverages > Alcohol > Plum Wine,CHOYA
416,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000416.jpg,1,RIO Light Yogurt Cocktail 4-Pack,15.99,,Alcohol > Ready-to-Drink Cocktails,Display stack and sign: RIO LIGHT YOGURT 4PK; blue/white carton printed 'RIO Light'
416,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000416.jpg,2,Ozeki One Cup Sake 180ml Jar,,,Alcohol > Sake,Blue label jars reading 'ONE CUP OZEKI'
781,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000781.jpg,1,Sho Chiku Bai Sake 1.5L Bottle,,$10.97,Alcoholic Beverages > Sake,MANAGER'S SALE; SHO CHIKU BAI; 1.5L/6; code 09400; green bottle on red/yellow case packaging with Japanese characters
806,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000806.jpg,1,Sho Chiku Bai Sake 1.5L Bottle,,$10.97,Alcohol > Sake,MANAGER'S SALE; Sho Chiku Bai; 1.5L; case labels show 1.5L/6; item code 09400; display cases read 'The #1 Sake in the World'
806,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000806.jpg,2,Soonhari Citron Soju 375ml Bottle,$6.99,,Alcohol > Soju,SOON HARI citron; Korean flavored soju; shelf tag reads 'SOONHARI SOJU 6.99'
806,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000806.jpg,3,Soonhari Apple Soju 375ml Bottle,$6.99,,Alcohol > Soju,SOON HARI apple; Korean flavored soju; price signage nearby shows 6.99
473,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000473.jpg,1,Ozeki One Cup Sake 200ml Jar,,,Alcohol > Sake,ONE CUP Ozeki; cup sake glass jar
473,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000473.jpg,2,Kikusui Funaguchi Nama Genshu 200ml Can,,,Alcohol > Sake,gold can; Funaguchi; Nama Genshu
473,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000473.jpg,3,Kooksoondang Makgeolli Original 750ml Bottle,,,Alcohol > Rice Wine / Makgeolli,white plastic bottle; Korean rice wine; 국순당 막걸리
473,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000473.jpg,4,Kooksoondang Makgeolli 355ml Can,,,Alcohol > Rice Wine / Makgeolli,white can with gold circle; Korean rice wine; 국순당
473,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000473.jpg,5,Ozeki Hana-Awaka Peach Sparkling Sake 250ml Bottle,,,Alcohol > Sparkling Sake,pink frosted slender bottle; Hana-Awaka; Peach
853,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000853.jpg,1,Soonhari Plum Soju 375ml,$6.99,,Alcohol > Soju,SOONHARI SOJU; SOON HARI plum; price sign shows 6.99
853,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000853.jpg,2,Soonhari Citron Soju 375ml,$6.99,,Alcohol > Soju,SOONHARI SOJU; SOON HARI citron; price sign shows 6.99
