frame_index,frame_path,sku_index,name,price_full,price_discounted,taxonomy,other_text
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000174.jpg,4,Kiku-Masamune Honjozo Sake 1.5L Bottle,,,Alcohol > Sake,Brown bottle; cream label with kanji '菊正宗'
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000174.jpg,5,Hakutsuru Junmai Sake (Red Label) 1.5L Bottle,$11.99,,Alcohol > Sake,Red label with white crane logo
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000174.jpg,6,Sho Chiku Bai Classic Junmai Sake 1.5L Bottle,,,Alcohol > Sake,Green bottle; tan label shows 'Sho Chiku Bai' and 'Classic Junmai'
174,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000174.jpg,7,Gekkeikan Traditional Sake 1.5L Bottle,,,Alcohol > Sake,Green bottle; oval label with 'GEKKEIKAN' and red/green band; 'Traditional'
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000201.jpg,1,Saero Apricot Zero Sugar Soju 375ml Bottle,,,Alcohol > Soju,새로 Saero; Apricot; Zero sugar; Spirit Sool; bottles stacked with matching case packs
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000201.jpg,2,Sho Chiku Bai Classic Junmai Sake 1.5L,,,Alcohol > Sake,松竹梅 Sho Chiku Bai; green 1.5L bottle with yellow label; lower shelf; price tag shows 9.xx
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000201.jpg,3,Gekkeikan Traditional Sake 1.5L,,,Alcohol > Sake,月桂冠 Gekkeikan; Traditional; green 1.5L bottle with round crest label; price tag near 9.xx
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000201.jpg,4,Sho Chiku Bai Classic Junmai Sake 720ml,,,Alcohol > Sake,松竹梅 Sho Chiku Bai; 720ml brown bottles with cream label; middle shelf; shelf tag shows 12.xx
201,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000201.jpg,5,Hakutsuru Junmai Sake 720ml,,,Alcohol > Sake,白鶴 Hakutsuru; red label with white crane; middle-right shelf; shelf tag ~11.xx
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000229.jpg,1,Saero Apricot Soju 375ml,,,Alcohol > Soju,새로 Saero; Apricot; Zero sugar; glass bottle with white label; cases on floor show 'Saero Apricot'
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000229.jpg,2,Apple Juice Drink 6-Pack (small cartons),,,Beverages > Juice,Green/white multi-pack with cartoon apples riding bicycles; shelf tag shows price starting with 10
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000229.jpg,3,Pear Flavored Soju 375ml (brand unclear),,,Alcohol > Soju,"Clear bottle, silver cap, white label prominently reads 'Pear'; multiple bottles on upper-right shelf"
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000229.jpg,4,Gekkeikan Traditional Sake 750ml,,,Alcohol > Sake,Green bottle; white label with red crest; kanji 月桂冠; bottom shelf center
229,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000229.jpg,5,Sho Chiku Bai Sake (Gold Label) 750ml,,,Alcohol > Sake,Gold and black label reading 'Sho Chiku Bai'; green bottle; bottom shelf right; Manager's Special tag nearby
